DBN,BN,School Name,School Type,Borough,Enrollment,State & Local Funding (M),Federal Funding (M),Total Funding (M),Total Funding per Pupil (K),Economic Need Index (%),Graduation Rate (%),College Readiness Index (%),College & Career Preparatory Course Index (%),Avg Regents Score - English (%),Avg Regents Score - Algebra I (%),Postsecondary Enrollment - 6 Months (%),Postsecondary Enrollment - 18 Months (%),Asian (%),Black (%),Hispanic (%),White (%),Unrepresented Race (%),Students Graduated,College Readiness Index,College & Career Preparatory Course Index,Postsecondary Enrollment - 6 Months,Postsecondary Enrollment - 18 Months,Economic Need Index,White,Hispanic,Black,Asian,Unrepresented Race,Years of principal experience,Avg Grade 8 English Proficiency,Avg Grade 8 Math Proficiency,Teacher Attendance (%),Student Attendance (%),Students with 90%+ Attendance (%),English Language Learners (%),Students with Disabilities (%),Temp Housing (%),HRA Eligible (%),Teachers w/ 3+ years of experience (%),Students Chronically Absent (%),Graduation,School Year,Location Name,Address,Postcode,Latitude,Longitude,NTA
25Q263,Q263,Flushing International High School,High School,Queens,426,6.009,0.297,6.307,21.375,0.948,0.651,0.358,0.538,58.5,61.2,0.556,0.657,0.448,0.019,0.486,0.042,0.005,106,106,106,108,99,404,18,207,8,191,2,7.9,1.84,2.489,0.967,0.887,0.671,0.869,0.026,0.251,0.608,0.9,0.329,Low Graduation,2015-16,Flushing International High School,144-80 BARCLAY AVENUE,11355,40.759844,-73.820548,Murray Hill                                                                
25Q281,Q281,East-West School of International Studies,High School,Queens,352,10.495,0.392,10.887,23.501,0.616,0.959,0.808,0.726,81.2,71.4,0.826,0.816,0.588,0.105,0.224,0.065,0.018,73,73,73,86,87,217,23,79,37,207,6,2.4,3.074,3.418,0.965,0.932,0.798,0.051,0.156,0.026,0.523,0.639,0.202,High Graduation,2015-16,East-West School of International Studies,46-21 COLDEN STREET,11355,40.749545,-73.822073,Flushing                                                                   
25Q285,Q285,World Journalism Preparatory: A College Board Scho,High School,Queens,325,7.541,0.087,7.628,20.175,0.463,0.986,0.792,0.764,84.3,68.0,0.889,0.933,0.138,0.049,0.36,0.422,0.031,72,72,72,72,89,150,137,117,16,45,10,2.7,3.263,3.106,0.974,0.915,0.726,0.012,0.188,0.049,0.366,0.975,0.274,High Graduation,2015-16,World Journalism Preparatory: A College Board Scho,34-65 192 STREET,11358,40.765133,-73.790083,Auburndale                                                                 
25Q425,Q425,John Bowne High School,High School,Queens,3522,43.786,2.2,45.986,19.523,0.749,0.77,0.555,0.513,77.1,66.2,0.593,0.636,0.296,0.19,0.435,0.055,0.024,893,893,893,875,890,2638,194,1532,669,1043,85,1.2,2.866,2.844,0.959,0.849,0.617,0.176,0.15,0.069,0.634,0.861,0.383,Low Graduation,2015-16,John Bowne High School,63-25 MAIN STREET,11367,40.738139000000004,-73.82494399999999,Kew Gardens Hills                                                          
25Q460,Q460,Flushing High School,High School,Queens,1595,25.144,1.272,26.415,23.849,0.775,0.701,0.474,0.462,68.1,62.8,0.411,0.432,0.159,0.193,0.589,0.032,0.027,405,405,405,384,421,1236,51,939,308,254,43,1.8,2.751,2.633,0.967,0.844,0.561,0.208,0.127,0.11,0.648,0.504,0.439,Low Graduation,2015-16,Flushing High School,35-01 UNION STREET,11354,40.765166,-73.82789,Flushing                                                                   
25Q525,Q525,Townsend Harris High School,High School,Queens,1182,12.68,0.127,12.807,17.918,0.386,0.997,0.997,1.0,95.3,87.5,0.986,0.989,0.558,0.052,0.124,0.193,0.073,288,288,288,291,261,456,228,147,61,660,86,2.2,4.153,4.294,0.957,0.971,0.948,0.001,0.043,0.011,0.289,0.929,0.052,High Graduation,2015-16,Townsend Harris High School,149-11 MELBOURNE AVENUE,11367,40.734390000000005,-73.821392,Kew Gardens Hills                                                          
25Q670,Q670,Robert F. Kennedy Community High School,High School,Queens,702,9.569,0.421,9.99,20.21,0.7,0.919,0.741,0.73,77.5,73.9,0.667,0.706,0.355,0.128,0.349,0.14,0.028,185,185,185,183,170,491,98,245,90,249,20,2.9,2.836,2.882,0.959,0.898,0.682,0.08,0.175,0.038,0.621,0.864,0.318,Medium Graduation,2015-16,Robert F. Kennedy Community High School,75-40 PARSONS BOULEVARD,11366,40.725603,-73.81069699999999,Kew Gardens Hills                                                          
26Q315,Q315,Business Technology Early College High School,High School,Queens,519,5.642,0.215,5.857,20.455,0.587,0.941,0.663,0.703,76.0,62.9,0.809,0.698,0.245,0.439,0.193,0.062,0.061,101,101,101,89,151,305,32,100,228,127,32,2.4,3.052,2.922,0.984,0.866,0.595,0.04,0.125,0.075,0.491,0.677,0.405,Medium Graduation,2015-16,Business Technology Early College High School,230-17 HILLSIDE AVENUE,11427,40.733066,-73.73875600000001,Bellerose                                                                  
26Q415,Q415,Benjamin N. Cardozo High School,High School,Queens,3609,37.11,0.269,37.379,16.89,0.507,0.903,0.77,0.664,81.1,69.6,0.775,0.864,0.422,0.215,0.208,0.136,0.019,943,943,943,892,867,1830,491,751,776,1523,69,2.9,3.221,3.332,0.963,0.92,0.78,0.046,0.134,0.037,0.421,0.816,0.22,Medium Graduation,2015-16,Benjamin N. Cardozo High School,57-00 223RD STREET,11364,40.752333,-73.75599,Oakland Gardens                                                            
26Q430,Q430,Francis Lewis High School,High School,Queens,4492,49.265,2.415,51.679,18.133,0.599,0.903,0.84,0.816,83.1,80.0,0.78,0.846,0.567,0.061,0.215,0.149,0.008,1108,1108,1108,1181,1017,2691,669,966,274,2547,36,5.9,3.291,3.492,0.968,0.921,0.796,0.105,0.146,0.05,0.493,0.904,0.204,Medium Graduation,2015-16,Francis Lewis High School,58-20 UTOPIA PARKWAY,11365,40.740724,-73.79283000000001,Auburndale                                                                 
26Q435,Q435,Martin Van Buren High School,High School,Queens,1162,16.817,0.77,17.587,22.884,0.674,0.787,0.554,0.503,74.0,63.5,0.627,0.541,0.288,0.453,0.176,0.032,0.051,287,287,287,276,331,783,37,205,526,335,59,7.1,2.758,2.579,0.967,0.878,0.641,0.13,0.115,0.083,0.559,0.924,0.359,Low Graduation,2015-16,Martin Van Buren High School,230-17 HILLSIDE AVENUE,11427,40.733066,-73.73875600000001,Bellerose                                                                  
26Q495,Q495,Bayside High School,High School,Queens,2850,36.654,1.613,38.266,19.545,0.517,0.975,0.876,0.968,77.5,70.6,0.821,0.9,0.379,0.131,0.25,0.198,0.042,710,710,710,905,836,1473,564,712,373,1080,120,10.9,3.105,3.232,0.97,0.928,0.781,0.082,0.166,0.059,0.416,0.93,0.219,High Graduation,2015-16,Bayside High School,32-24 CORPORAL KENNEDY STREET,11361,40.771755,-73.78029599999999,Bayside-Bayside Hills                                                      
26Q566,Q566,"Queens High School of Teaching, Liberal Arts and t",High School,Queens,1070,14.008,0.089,14.097,20.216,0.408,0.93,0.576,0.421,73.9,62.4,0.816,0.886,0.207,0.526,0.148,0.072,0.047,271,271,271,245,271,437,77,158,563,221,50,2.7,2.881,2.678,0.957,0.9,0.694,0.024,0.201,0.029,0.329,0.828,0.306,Medium Graduation,2015-16,"Queens High School of Teaching, Liberal Arts and t",74-20 COMMONWEALTH BLVD,11426,40.746088,-73.727535,Bellerose                                                                  
27Q260,Q260,Frederick Douglass Academy VI High School,High School,Queens,346,6.127,0.262,6.389,25.803,0.877,0.478,0.087,0.152,62.1,54.7,0.228,0.398,0.012,0.491,0.462,0.006,0.029,92,92,92,114,93,303,2,160,170,4,10,4.9,2.385,2.042,0.971,0.782,0.408,0.303,0.199,0.194,0.659,0.769,0.592,Low Graduation,2015-16,Frederick Douglass Academy VI High School,8-21 BAY 25 STREET,11691,40.60201,-73.762795,Far Rockaway-Bayswater                                                     
27Q262,Q262,Channel View School for Research,High School,Queens,553,14.932,0.566,15.498,22.936,0.63,0.925,0.667,0.521,82.1,64.9,0.766,0.795,0.071,0.456,0.316,0.141,0.016,120,120,120,128,112,348,78,175,252,39,9,4.8,3.01,2.763,0.958,0.897,0.637,0.014,0.125,0.029,0.524,0.716,0.363,Medium Graduation,2015-16,Channel View School for Research,100-00 BEACH CHANNEL DRIVE,11694,40.586065999999995,-73.822624,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
27Q302,Q302,"Queens High School for Information, Research, and",High School,Queens,466,6.343,0.247,6.59,21.72,0.806,0.817,0.557,0.397,72.6,63.7,0.617,0.667,0.052,0.408,0.483,0.032,0.025,131,131,131,94,102,376,15,225,190,24,12,5.0,2.608,2.336,0.969,0.847,0.575,0.217,0.208,0.109,0.661,0.867,0.425,Medium Graduation,2015-16,"Queens High School for Information, Research, and",8-21 BAY 25 STREET,11691,40.60201,-73.762795,Far Rockaway-Bayswater                                                     
27Q308,Q308,Robert H. Goddard High School of Communication Art,High School,Queens,629,7.232,0.29,7.522,18.826,0.574,0.918,0.684,0.775,82.9,74.8,0.839,0.854,0.262,0.075,0.377,0.238,0.048,158,158,158,149,137,361,150,237,47,165,30,8.9,3.008,2.792,0.971,0.933,0.811,0.038,0.194,0.038,0.477,0.947,0.189,Medium Graduation,2015-16,Robert H. Goddard High School of Communication Art,138-30 LAFAYETTE STREET,11417,40.671240000000004,-73.845141,Ozone Park                                                                 
27Q309,Q309,Academy of Medical Technology: A College Board Sch,High School,Queens,400,8.647,0.461,9.108,20.58,0.83,0.667,0.342,0.202,70.3,58.8,0.706,0.652,0.075,0.383,0.475,0.043,0.024,114,114,114,102,92,332,17,190,153,30,10,3.7,2.686,2.321,0.971,0.857,0.556,0.168,0.155,0.085,0.703,0.88,0.444,Low Graduation,2015-16,Academy of Medical Technology: A College Board Sch,8-21 BAY 25 STREET,11691,40.60201,-73.762795,Far Rockaway-Bayswater                                                     
27Q314,Q314,Epic High School - South,High School,Queens,382,5.581,0.157,5.738,21.055,0.661,0.83,0.386,0.216,72.0,60.7,0.606,0.698,0.275,0.319,0.285,0.031,0.09,88,88,88,71,151,253,12,109,122,105,34,3.1,2.658,2.447,0.953,0.843,0.484,0.089,0.194,0.065,0.573,0.556,0.516,Medium Graduation,2015-16,Epic High School - South,121-10 ROCKAWAY BOULEVARD,11420,40.675771000000005,-73.81693800000001,South Ozone Park                                                           
27Q323,Q323,Scholars' Academy,High School,Queens,691,13.668,0.049,13.717,16.65,0.345,1.0,0.962,1.0,88.7,74.0,0.973,0.992,0.145,0.207,0.208,0.427,0.013,157,157,157,148,121,238,295,144,143,100,9,14.1,3.852,4.046,0.964,0.935,0.827,0.0,0.148,0.013,0.243,0.743,0.173,High Graduation,2015-16,Scholars' Academy,320 BEACH 104TH STREET,11694,40.584109000000005,-73.825711,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
27Q324,Q324,Rockaway Park High School for Environmental Sustai,High School,Queens,304,5.197,0.295,5.492,26.079,0.852,0.737,0.389,0.221,65.2,58.7,0.404,0.5,0.03,0.431,0.401,0.092,0.046,95,95,95,89,68,259,28,122,131,9,14,8.4,2.574,2.25,0.967,0.776,0.373,0.122,0.293,0.168,0.757,0.917,0.627,Low Graduation,2015-16,Rockaway Park High School for Environmental Sustai,100-00 BEACH CHANNEL DRIVE,11694,40.586065999999995,-73.822624,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
27Q334,Q334,Epic High School - North,High School,Queens,411,5.226,0.178,5.404,20.017,0.693,0.807,0.466,0.273,70.9,59.1,0.762,0.698,0.273,0.168,0.414,0.054,0.091,88,88,88,101,3,285,22,170,69,112,37,0.9,2.716,2.53,0.975,0.851,0.548,0.097,0.153,0.073,0.582,0.556,0.452,Medium Graduation,2015-16,Epic High School - North,94-25 117TH STREET,11419,40.693006,-73.82940699999999,Richmond Hill                                                              
27Q351,Q351,Rockaway Collegiate High School,High School,Queens,306,5.041,0.187,5.228,24.577,0.825,0.642,0.284,0.222,67.2,62.7,0.505,0.479,0.029,0.559,0.353,0.052,0.007,81,81,81,93,71,252,16,108,171,9,2,0.8,2.472,2.264,0.946,0.797,0.417,0.082,0.304,0.101,0.739,0.667,0.583,Low Graduation,2015-16,Rockaway Collegiate High School,100-00 BEACH CHANNEL DRIVE,11694,40.586065999999995,-73.822624,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
27Q400,Q400,August Martin High School,High School,Queens,311,7.256,0.386,7.641,32.665,0.718,0.839,0.429,0.196,68.8,65.3,0.214,0.421,0.125,0.666,0.148,0.013,0.048,56,56,56,98,126,223,4,46,207,39,15,4.1,2.401,2.182,0.992,0.885,0.622,0.061,0.232,0.132,0.624,0.643,0.378,Medium Graduation,2015-16,August Martin High School,156-10 BAISLEY BOULEVARD,11434,40.675633000000005,-73.783342,Springfield Gardens North                                                  
27Q475,Q475,Richmond Hill High School,High School,Queens,1576,27.147,1.406,28.553,24.497,0.774,0.677,0.443,0.45,69.6,65.2,0.566,0.607,0.315,0.123,0.456,0.041,0.065,467,467,467,528,507,1220,65,719,194,496,102,5.9,2.675,2.544,0.96,0.877,0.648,0.23,0.143,0.073,0.624,0.847,0.352,Low Graduation,2015-16,Richmond Hill High School,89-30 114 STREET,11418,40.695888000000004,-73.833681,Richmond Hill                                                              
27Q480,Q480,John Adams High School,High School,Queens,2366,34.371,1.84,36.211,22.668,0.747,0.819,0.57,0.47,74.5,67.9,0.471,0.566,0.361,0.245,0.322,0.027,0.045,554,554,554,533,595,1767,64,762,580,854,106,7.1,2.709,2.491,0.958,0.87,0.617,0.139,0.14,0.115,0.615,0.657,0.383,Medium Graduation,2015-16,John Adams High School,101-01 ROCKAWAY BOULEVARD,11417,40.679639,-73.837298,South Ozone Park                                                           
27Q650,Q650,"High School for Construction Trades, Engineering a",High School,Queens,1066,13.381,0.263,13.644,19.819,0.529,0.983,0.895,0.924,82.6,77.5,0.824,0.87,0.308,0.09,0.365,0.119,0.118,237,237,237,255,231,564,127,389,96,328,126,9.4,3.28,3.351,0.96,0.939,0.832,0.016,0.162,0.019,0.421,0.815,0.168,High Graduation,2015-16,"High School for Construction Trades, Engineering a",94-06 104TH STREET,11416,40.689591,-73.840717,Richmond Hill                                                              
28Q157,Q157,J.H.S. 157 Stephen A. Halsey,High School,Queens,38,19.719,0.217,19.935,18.59,0.819,0.836,0.565,0.485,73.367,80.5,0.65,0.698,0.289,0.158,0.237,0.316,0.0,149,149,149,152,151,31,12,9,6,11,0,13.9,2.406,2.406,0.969,0.923,0.737,0.289,0.316,0.132,0.737,0.75,0.263,Medium Graduation,2015-16,J.H.S. 157 Stephen A. Halsey,63-55 102ND STREET,11374,40.732289,-73.853825,Forest Hills                                                               
28Q167,Q167,Metropolitan Expeditionary Learning School,High School,Queens,454,10.946,0.42,11.366,20.254,0.532,0.954,0.769,0.468,80.9,62.8,0.827,0.91,0.161,0.183,0.441,0.152,0.063,108,108,108,110,100,242,69,200,83,73,29,9.1,2.978,2.817,0.968,0.936,0.813,0.007,0.194,0.044,0.436,0.836,0.187,High Graduation,2015-16,Metropolitan Expeditionary Learning School,91-30 METROPOLITAN AVENUE,11375,40.711366999999996,-73.856698,Forest Hills                                                               
28Q284,Q284,York Early College Academy,High School,Queens,368,6.991,0.286,7.277,17.455,0.499,0.966,0.886,0.977,88.4,69.7,0.94,0.988,0.272,0.514,0.092,0.011,0.111,88,88,88,84,81,184,4,34,189,100,41,3.6,3.448,3.606,0.97,0.933,0.827,0.0,0.092,0.046,0.399,0.933,0.173,High Graduation,2015-16,York Early College Academy,108-35 167 STREET,11433,40.69719,-73.787192,South Jamaica                                                              
28Q310,Q310,Queens Collegiate: A College Board School,High School,Queens,416,8.784,0.384,9.168,20.399,0.693,0.817,0.495,0.399,71.9,65.0,0.723,0.723,0.303,0.399,0.192,0.014,0.092,109,109,109,112,101,288,6,80,166,126,38,11.1,2.784,2.66,0.946,0.862,0.6,0.123,0.149,0.063,0.567,0.83,0.4,Medium Graduation,2015-16,Queens Collegiate: A College Board School,167-01 GOTHIC DRIVE,11432,40.713218,-73.797237,Briarwood-Jamaica Hills                                                    
28Q325,Q325,Hillside Arts & Letters Academy,High School,Queens,447,6.401,0.25,6.652,22.215,0.706,0.91,0.613,0.874,70.1,66.9,0.643,0.735,0.201,0.412,0.293,0.025,0.069,111,111,111,112,102,316,11,131,184,90,31,4.1,2.691,2.414,0.982,0.868,0.602,0.141,0.192,0.081,0.615,0.793,0.398,Medium Graduation,2015-16,Hillside Arts & Letters Academy,167-01 GOTHIC DRIVE,11432,40.713218,-73.797237,Briarwood-Jamaica Hills                                                    
28Q328,Q328,High School for Community Leadership,High School,Queens,464,6.094,0.254,6.349,20.096,0.693,0.939,0.757,0.835,77.3,73.3,0.692,0.885,0.231,0.353,0.28,0.045,0.091,115,115,115,120,96,322,21,130,164,107,42,9.1,2.829,2.624,0.973,0.841,0.481,0.149,0.155,0.097,0.575,0.821,0.519,Medium Graduation,2015-16,High School for Community Leadership,167-01 GOTHIC DRIVE,11432,40.713218,-73.797237,Briarwood-Jamaica Hills                                                    
28Q350,Q350,Jamaica Gateway to the Sciences,High School,Queens,494,6.179,0.247,6.426,19.578,0.654,0.913,0.762,0.734,80.0,69.4,0.754,0.766,0.381,0.344,0.16,0.026,0.089,126,126,126,130,145,323,13,79,170,188,44,8.1,2.905,2.951,0.972,0.898,0.665,0.099,0.148,0.109,0.559,0.767,0.335,Medium Graduation,2015-16,Jamaica Gateway to the Sciences,167-01 GOTHIC DRIVE,11432,40.713218,-73.797237,Briarwood-Jamaica Hills                                                    
28Q440,Q440,Forest Hills High School,High School,Queens,3806,40.212,1.898,42.11,18.281,0.586,0.866,0.764,0.662,81.5,67.4,0.764,0.807,0.241,0.071,0.354,0.295,0.039,1014,1014,1014,1044,910,2230,1123,1347,270,917,148,6.735,3.187,3.249,0.961,0.882,0.713,0.086,0.159,0.046,0.463,0.885,0.287,Medium Graduation,2015-16,Forest Hills High School,67-01 110 STREET,11375,40.729402,-73.845637,Forest Hills                                                               
28Q505,Q505,Hillcrest High School,High School,Queens,3300,37.706,2.02,39.726,19.015,0.734,0.776,0.594,0.578,76.4,65.8,0.574,0.663,0.325,0.263,0.337,0.032,0.043,803,803,803,839,848,2422,106,1112,868,1072,142,5.5,2.859,2.743,0.963,0.866,0.661,0.18,0.109,0.089,0.602,0.874,0.339,Low Graduation,2015-16,Hillcrest High School,160-05 HIGHLAND AVENUE,11432,40.709446,-73.80166,Briarwood-Jamaica Hills                                                    
28Q620,Q620,Thomas A. Edison Career and Technical Education Hi,High School,Queens,2196,27.126,1.588,28.714,19.949,0.605,0.921,0.874,0.854,81.0,74.3,0.776,0.741,0.483,0.178,0.232,0.041,0.066,517,517,517,491,499,1329,90,509,391,1061,145,6.9,3.39,3.509,0.966,0.938,0.859,0.022,0.135,0.043,0.519,0.85,0.141,Medium Graduation,2015-16,Thomas A. Edison Career and Technical Education Hi,165-65 84 AVENUE,11432,40.715389,-73.80036899999999,Briarwood-Jamaica Hills                                                    
28Q680,Q680,Queens Gateway to Health Sciences Secondary School,High School,Queens,426,8.679,0.055,8.734,19.613,0.52,0.958,0.917,0.917,83.6,65.5,0.89,0.917,0.451,0.265,0.11,0.052,0.122,96,96,96,100,109,222,22,47,113,192,52,7.2,3.538,3.587,0.961,0.931,0.816,0.019,0.131,0.028,0.441,0.7,0.184,High Graduation,2015-16,Queens Gateway to Health Sciences Secondary School,160-20 GOETHALS AVENUE,11432,40.718831,-73.806499,Pomonok-Flushing Heights-Hillcrest                                         
28Q686,Q686,Queens Metropolitan High School,High School,Queens,1104,13.058,0.116,13.174,18.906,0.444,0.906,0.812,0.733,84.9,68.4,0.771,0.764,0.101,0.037,0.425,0.427,0.01,255,255,255,262,233,490,471,469,41,112,11,3.0,3.084,2.943,0.959,0.92,0.772,0.032,0.172,0.033,0.35,0.882,0.228,Medium Graduation,2015-16,QUEENS METROPOLITAN HIGH SCHOOL,91-30 METROPOLITAN AVENUE,11375,40.711366999999996,-73.856698,Forest Hills                                                               
28Q687,Q687,Queens High School for the Sciences at York Colleg,High School,Queens,475,5.849,0.004,5.853,19.049,0.489,1.0,1.0,1.0,93.5,85.8,0.919,0.914,0.819,0.032,0.04,0.061,0.048,110,110,110,111,116,232,29,19,15,389,23,2.7,4.058,4.311,0.972,0.969,0.922,0.0,0.0,0.021,0.394,0.815,0.078,High Graduation,2015-16,Queens High School for the Sciences at York Colleg,94-50 159 STREET,11433,40.701049,-73.798151,Jamaica                                                                    
28Q690,Q690,High School for Law Enforcement and Public Safety,High School,Queens,462,6.723,0.239,6.962,21.743,0.692,0.809,0.464,0.2,72.4,58.5,0.656,0.673,0.123,0.578,0.247,0.017,0.035,110,110,110,131,113,320,8,114,267,57,16,5.6,2.615,2.423,0.971,0.868,0.628,0.069,0.212,0.121,0.6,0.742,0.372,Medium Graduation,2015-16,High School for Law Enforcement and Public Safety,116-25 GUY R BREWER BOULEVARD,11434,40.686208,-73.784144,Baisley Park                                                               
28Q896,Q896,"Young Women's Leadership School, Queens",High School,Queens,299,6.385,0.277,6.663,18.466,0.597,0.987,0.829,0.691,79.4,65.6,0.824,0.905,0.358,0.431,0.104,0.033,0.074,76,76,76,74,84,179,10,31,129,107,22,6.1,3.399,3.244,0.981,0.921,0.736,0.017,0.164,0.07,0.495,0.914,0.264,High Graduation,2015-16,"Young Women's Leadership School, Queens",150-91 87 ROAD,11432,40.707527,-73.806412,Briarwood-Jamaica Hills                                                    
29Q243,Q243,Institute for Health Professions at Cambria Height,High School,Queens,413,6.07,0.275,6.344,21.925,0.682,0.89,0.61,0.57,72.1,66.49,0.739,0.778,0.107,0.705,0.131,0.019,0.038,100,100,100,115,81,282,8,54,291,44,16,6.1,2.846,2.525,0.969,0.87,0.561,0.097,0.107,0.09,0.603,0.656,0.439,Medium Graduation,2015-16,Institute for Health Professions at Cambria Height,207- 01 116TH  AVENUE,11411,40.697819,-73.745728,Cambria Heights                                                            
29Q248,Q248,Queens Preparatory Academy,High School,Queens,387,4.916,0.206,5.122,21.101,0.662,0.788,0.545,0.429,71.2,63.9,0.525,0.574,0.036,0.819,0.085,0.018,0.042,99,99,99,122,115,256,7,33,317,14,16,14.1,2.51,2.237,0.952,0.81,0.542,0.116,0.14,0.134,0.584,0.792,0.458,Low Graduation,2015-16,Queens Preparatory Academy,143-10 SPRINGFIELD BOULEVARD,11413,40.668234999999996,-73.756839,Springfield Gardens North                                                  
29Q259,Q259,Pathways College Preparatory School: A College Boa,High School,Queens,353,7.646,0.26,7.906,21.154,0.522,0.84,0.56,0.62,76.1,63.9,0.511,0.618,0.065,0.853,0.045,0.017,0.02,75,75,75,92,89,184,6,16,301,23,7,2.9,2.785,2.419,0.972,0.901,0.762,0.048,0.147,0.071,0.445,0.833,0.238,Medium Graduation,2015-16,Pathways College Preparatory School: A College Boa,109-89 204 STREET,11412,40.70646,-73.753579,Hollis                                                                     
29Q265,Q265,Excelsior Preparatory High School,High School,Queens,438,5.745,0.212,5.957,19.737,0.59,0.837,0.467,0.496,69.8,68.2,0.611,0.608,0.025,0.822,0.082,0.025,0.046,123,122,122,126,125,258,11,36,360,11,20,9.0,2.661,2.325,0.971,0.863,0.615,0.078,0.16,0.098,0.493,0.962,0.385,Medium Graduation,2015-16,Excelsior Preparatory High School,143-10 SPRINGFIELD BOULEVARD,11413,40.668234999999996,-73.756839,Springfield Gardens North                                                  
29Q272,Q272,George Washington Carver High School for the Scien,High School,Queens,417,6.309,0.359,6.668,22.146,0.619,0.717,0.465,0.152,75.6,60.3,0.629,0.654,0.043,0.734,0.151,0.012,0.06,99,99,99,143,133,258,5,63,306,18,25,15.1,2.719,2.479,0.941,0.847,0.626,0.05,0.173,0.101,0.518,0.926,0.374,Low Graduation,2015-16,George Washington Carver High School for the Scien,143-10 SPRINGFIELD BOULEVARD,11413,40.668234999999996,-73.756839,Springfield Gardens North                                                  
29Q283,Q283,Preparatory Academy for Writers: A College Board S,High School,Queens,371,6.853,0.263,7.116,19.754,0.532,0.887,0.567,0.402,77.8,66.3,0.739,0.826,0.03,0.903,0.057,0.0,0.01,97,97,97,111,86,197,0,21,335,11,4,10.0,2.893,2.649,0.958,0.845,0.584,0.024,0.151,0.059,0.453,0.97,0.416,Medium Graduation,2015-16,Preparatory Academy for Writers: A College Board S,143-10 SPRINGFIELD BOULEVARD,11413,40.668234999999996,-73.756839,Springfield Gardens North                                                  
29Q313,Q313,Benjamin Franklin High School for Finance & Inform,High School,Queens,389,6.14,0.279,6.418,22.405,0.689,0.837,0.435,0.473,73.1,63.3,0.596,0.698,0.147,0.602,0.165,0.021,0.065,92,92,92,99,2,268,8,64,234,57,25,0.9,2.637,2.402,0.975,0.849,0.524,0.131,0.177,0.113,0.571,0.9,0.476,Medium Graduation,2015-16,Benjamin Franklin High School for Finance & Inform,207- 01 116TH  AVENUE,11411,40.697819,-73.745728,Cambria Heights                                                            
29Q326,Q326,Cambria Heights Academy,High School,Queens,370,4.936,0.185,5.121,21.475,0.599,0.936,0.5,0.33,69.7,65.0,0.725,0.77,0.146,0.724,0.097,0.016,0.017,94,94,94,80,100,222,6,36,268,54,6,9.0,2.631,2.376,0.974,0.872,0.662,0.103,0.173,0.092,0.519,0.75,0.338,Medium Graduation,2015-16,Cambria Heights Academy,188-04 91ST AVENUE,11423,40.711849,-73.77119499999999,Jamaica                                                                    
29Q327,Q327,Eagle Academy for Young Men III,High School,Queens,276,8.167,0.244,8.411,21.302,0.524,0.897,0.448,0.198,72.6,60.3,0.709,0.811,0.022,0.859,0.043,0.018,0.058,58,58,58,55,53,145,5,12,237,6,16,1.9,2.613,2.371,0.965,0.868,0.581,0.004,0.243,0.091,0.438,0.757,0.419,Medium Graduation,2015-16,Eagle Academy for Young Men III,171-10 LINDEN BOULEVARD,11434,40.691712,-73.77892299999999,St. Albans                                                                 
29Q492,Q492,"Mathematics, Science Research and Technology Magne",High School,Queens,407,5.52,0.288,5.808,22.329,0.7,0.726,0.46,0.257,71.0,61.5,0.523,0.571,0.162,0.688,0.113,0.015,0.022,113,113,113,109,98,285,6,46,280,66,9,1.5,2.673,2.524,0.972,0.842,0.569,0.145,0.111,0.108,0.587,0.625,0.431,Low Graduation,2015-16,"Mathematics, Science Research and Technology Magne",207- 01 116TH  AVENUE,11411,40.697819,-73.745728,Cambria Heights                                                            
29Q498,Q498,Humanities & Arts Magnet High School,High School,Queens,439,5.827,0.328,6.155,21.294,0.684,0.836,0.393,0.48,61.6,65.2,0.553,0.561,0.062,0.745,0.15,0.016,0.027,122,122,122,114,123,300,7,66,327,27,12,2.9,2.622,2.278,0.961,0.86,0.602,0.114,0.171,0.118,0.569,0.846,0.398,Medium Graduation,2015-16,Humanities & Arts Magnet High School,207- 01 116TH  AVENUE,11411,40.697819,-73.745728,Cambria Heights                                                            
30Q258,Q258,Energy Tech High School,High School,Queens,533,7.61,0.292,7.902,21.067,0.631,0.881,0.817,0.789,77.8,70.9,0.844,0.941,0.167,0.094,0.578,0.124,0.037,109,109,109,109,101,336,66,308,50,89,20,6.1,3.014,3.054,0.986,0.911,0.739,0.026,0.163,0.038,0.544,0.639,0.261,Medium Graduation,2015-16,Energy Tech High School,36-41 28 STREET,11106,40.757065000000004,-73.932664,Queensbridge-Ravenswood-Long Island City                                   
30Q286,Q286,"Young Women's Leadership School, Astoria",High School,Queens,320,6.134,0.314,6.448,18.107,0.729,1.0,0.892,0.682,81.2,66.2,0.924,0.901,0.366,0.075,0.394,0.156,0.009,74,74,74,79,81,233,50,126,24,117,3,3.9,3.318,3.238,0.967,0.937,0.822,0.034,0.131,0.038,0.634,0.757,0.178,High Graduation,2015-16,"Young Women's Leadership School, Astoria",23-15 NEWTOWN AVENUE,11102,40.771215000000005,-73.924591,Old Astoria                                                                
