DBN,BN,School Name,School Type,Borough,Enrollment,State & Local Funding (M),Federal Funding (M),Total Funding (M),Total Funding per Pupil (K),Economic Need Index (%),Graduation Rate (%),College Readiness Index (%),College & Career Preparatory Course Index (%),Avg Regents Score - English (%),Avg Regents Score - Algebra I (%),Postsecondary Enrollment - 6 Months (%),Postsecondary Enrollment - 18 Months (%),Asian (%),Black (%),Hispanic (%),White (%),Unrepresented Race (%),Students Graduated,College Readiness Index,College & Career Preparatory Course Index,Postsecondary Enrollment - 6 Months,Postsecondary Enrollment - 18 Months,Economic Need Index,White,Hispanic,Black,Asian,Unrepresented Race,Years of principal experience,Avg Grade 8 English Proficiency,Avg Grade 8 Math Proficiency,Teacher Attendance (%),Student Attendance (%),Students with 90%+ Attendance (%),English Language Learners (%),Students with Disabilities (%),Temp Housing (%),HRA Eligible (%),Teachers w/ 3+ years of experience (%),Students Chronically Absent (%),Graduation,School Year,Location Name,Address,Postcode,Latitude,Longitude,NTA
09X525,X525,Bronx Leadership Academy High School,High School,Bronx,565,8.655,0.725,9.38,23.545,0.937,0.62,0.254,0.13,62.2,58.4,0.444,0.463,0.005,0.296,0.667,0.014,0.018,142,142,142,144,147,529,8,377,167,3,10,0.4,2.388,2.077,0.954,0.792,0.4,0.198,0.271,0.211,0.858,0.442,0.6,Low Graduation,2015-16,Bronx Leadership Academy High School,1710 WEBSTER AVENUE,10457,40.843588000000004,-73.90323599999999,Claremont-Bathgate                                                         
09X543,X543,High School for Violin and Dance,High School,Bronx,253,3.893,0.329,4.222,25.03,0.932,0.633,0.333,0.1,67.0,56.5,0.455,0.566,0.004,0.348,0.628,0.016,0.004,60,60,60,99,76,236,4,159,88,1,1,8.4,2.401,2.126,0.957,0.765,0.417,0.178,0.316,0.233,0.854,0.875,0.583,Low Graduation,2015-16,High School for Violin and Dance,1110 BOSTON ROAD,10456,40.827642,-73.904473,Morrisania-Melrose                                                         
09X564,X564,Claremont International HS,High School,Bronx,361,5.442,0.393,5.835,22.401,0.986,0.831,0.41,0.434,59.6,65.1,0.471,0.495,0.089,0.188,0.679,0.044,0.0,83,83,83,87,95,356,16,245,68,32,0,7.1,1.836,1.963,0.96,0.858,0.624,0.845,0.072,0.454,0.831,0.889,0.376,Medium Graduation,2015-16,Claremont International HS,240 EAST 172 STREET,10457,40.840422,-73.91091,East Concourse-Concourse Village                                           
09X568,X568,Young Women's Leadership School of the Bronx,High School,Bronx,285,7.211,0.479,7.691,20.733,0.803,0.953,0.734,0.547,83.4,70.5,0.65,0.698,0.028,0.358,0.572,0.011,0.031,64,64,64,152,151,229,3,163,102,8,9,6.9,3.071,3.055,0.96,0.893,0.64,0.046,0.186,0.049,0.681,0.61,0.36,High Graduation,2015-16,Young Women's Leadership School of the Bronx,1865 MORRIS AVENUE,10453,40.848516,-73.908427,Mount Hope                                                                 
10X141,X141,Riverdale / Kingsbridge Academy (Middle School / H,High School,Bronx,728,19.064,0.316,19.38,19.073,0.507,0.919,0.75,0.619,81.8,69.6,0.774,0.823,0.076,0.102,0.573,0.242,0.007,160,160,160,190,158,369,176,417,74,55,5,12.1,2.928,2.992,0.967,0.924,0.791,0.077,0.206,0.084,0.42,0.85,0.209,Medium Graduation,2015-16,Riverdale / Kingsbridge Academy (Middle School / H,660 WEST 237 STREET,10463,40.888338,-73.91348599999999,North Riverdale-Fieldston-Riverdale                                        
10X213,X213,Bronx Engineering and Technology Academy,High School,Bronx,377,6.431,0.439,6.871,24.246,0.873,0.724,0.327,0.393,68.2,57.6,0.543,0.617,0.045,0.284,0.639,0.024,0.008,98,98,98,94,81,329,9,241,107,17,3,1.2,2.574,2.435,0.955,0.788,0.475,0.188,0.244,0.18,0.753,0.929,0.525,Low Graduation,2015-16,Bronx Engineering and Technology Academy,99 TERRACE VIEW AVENUE,10463,40.877105,-73.912256,Marble Hill-Inwood                                                         
10X225,X225,Theatre Arts Production Company School,High School,Bronx,348,8.745,0.483,9.228,21.877,0.868,0.841,0.512,0.25,75.0,59.2,0.655,0.634,0.023,0.253,0.707,0.017,0.0,82,82,82,87,71,302,6,246,88,8,0,7.4,2.715,2.43,0.97,0.837,0.528,0.075,0.25,0.141,0.773,0.66,0.472,Medium Graduation,2015-16,Theatre Arts Production Company School,2225 WEBSTER AVENUE,10457,40.854493,-73.89671700000001,Mount Hope                                                                 
10X237,X237,"The Marie Curie School for Medicine, Nursing, and",High School,Bronx,430,6.617,0.411,7.027,22.29,0.857,0.7,0.35,0.313,67.3,62.9,0.496,0.64,0.033,0.288,0.623,0.037,0.019,120,120,120,123,125,369,16,268,124,14,8,15.1,2.643,2.331,0.957,0.79,0.394,0.128,0.235,0.177,0.751,0.765,0.606,Low Graduation,2015-16,"The Marie Curie School for Medicine, Nursing, and",120 WEST 231 STREET,10463,40.875911,-73.901099,Van Cortlandt Village                                                      
10X243,X243,West Bronx Academy for the Future,High School,Bronx,327,9.262,0.858,10.12,23.973,0.925,0.8,0.5,0.514,76.0,63.3,0.697,0.683,0.031,0.162,0.783,0.021,0.003,70,70,70,76,63,302,7,256,53,10,1,15.1,2.672,2.468,0.967,0.858,0.666,0.107,0.26,0.171,0.835,0.74,0.334,Low Graduation,2015-16,West Bronx Academy for the Future,500 EAST FORDHAM ROAD,10458,40.860043,-73.888267,Belmont                                                                    
10X264,X264,Bronx Academy for Software Engineering (BASE),High School,Bronx,419,6.983,0.407,7.39,24.311,0.797,0.697,0.485,0.247,73.2,60.8,0.585,0.742,0.06,0.27,0.616,0.033,0.021,99,99,99,106,97,334,14,258,113,25,9,6.1,2.743,2.643,0.991,0.849,0.593,0.091,0.279,0.119,0.673,0.711,0.407,Low Graduation,2015-16,Bronx Academy for Software Engineering (BASE),2474 CROTONA AVENUE,10458,40.855698,-73.882715,Belmont                                                                    
